[2024-12-11 22:23:41,624][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:41,874][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:42,118][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:42,362][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:42,588][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:42,836][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:43,079][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:43,307][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:43,552][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:43,776][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:44,021][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:44,265][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:44,510][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:44,767][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:45,013][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:45,260][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:45,510][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:45,757][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:46,008][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:46,255][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:46,497][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:46,747][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:46,998][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:47,241][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:47,489][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:47,714][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:47,939][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:48,185][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:48,431][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:48,673][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:48,923][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:49,173][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:49,421][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:49,675][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:49,922][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:50,171][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:50,397][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:50,647][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:50,899][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:51,145][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:51,395][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:51,645][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:51,889][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:52,114][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:52,360][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:52,608][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:52,833][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:53,079][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:53,331][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:53,581][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:53,827][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:54,071][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:54,319][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:54,579][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:54,831][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:55,356][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:55,601][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:55,844][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:56,781][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:57,028][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:57,277][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:57,525][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:57,774][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:58,001][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:58,244][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:58,488][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:58,735][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:58,984][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:59,233][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:59,480][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:59,725][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:23:59,969][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:00,212][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:00,464][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:00,714][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:00,965][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:01,211][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:01,437][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
