[2024-12-12 09:24:22,980][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:22,981][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:22,982][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:22,983][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:22,985][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:22,986][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:22,987][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:22,988][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:22,990][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:22,991][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:22,992][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:22,993][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:22,995][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:22,996][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:22,997][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:22,998][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:22,999][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,001][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,002][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,003][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,004][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,005][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,007][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,008][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,009][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,010][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,012][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,013][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,014][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,015][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,017][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,018][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,019][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,020][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,021][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,023][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,024][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,025][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,026][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,028][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,029][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,030][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,031][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,032][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,034][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,035][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,036][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,037][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,038][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,040][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,041][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,042][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,044][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:23,046][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,366][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,368][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
