[2024-12-12 09:18:44,898][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,899][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,900][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,902][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,903][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,904][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,905][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,906][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,908][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,909][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,910][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,911][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,912][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,914][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,915][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,916][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,917][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,918][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,919][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,921][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,922][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,923][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,925][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,926][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,928][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,929][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,930][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
