[2024-12-11 17:39:42,250][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:42,465][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:42,677][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:42,900][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:43,120][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:43,339][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:43,552][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:43,769][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:44,559][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:44,776][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:44,991][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:45,209][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:45,425][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:45,639][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:45,855][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:46,075][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:46,291][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:46,510][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:46,726][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:46,944][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:47,165][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:47,381][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:47,605][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:47,820][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:48,038][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:48,255][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:48,473][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:48,691][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:48,911][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:49,127][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:49,342][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:49,560][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:49,777][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:49,997][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:50,214][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:50,435][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:50,649][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:51,450][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:51,670][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:51,891][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:52,108][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:52,329][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:52,547][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:52,768][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:52,991][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:53,212][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:53,427][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:53,646][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
[2024-12-11 17:39:53,864][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpsdjnavb9/huggingface.sqlite'
