[2024-12-12 09:30:00,832][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,833][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,834][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,835][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,837][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,838][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,839][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,840][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,841][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,842][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,844][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,845][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,846][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,847][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,848][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,849][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,851][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,852][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,853][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,854][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,855][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,856][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,857][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,858][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,859][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,861][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,862][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
